Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Operating System,VM Host,Connected SCADA Server,Asset Contact Person,Comments
Site,AWA,MA_AWA_MAOTAWAPHY01,MAOTAWAPHY01,Awali OT Physical Host,VM Host,HP,HPE DL380 Gen10,,CZ210205ZM,Z_MA_AWA_SCADA,Windows Server 2016 DC,,,,
Site,AWA,MA_AWA_MAOTAWADM01,MAOTAWADM01,Awali OT Domain Controller,OT Domain Controller,VM,,,,Z_MA_AWA_SCADA,Windows Server 2016 STD,MA_AWA_MAOTAWAPHY01,,,
Site,AWA,MA_AWA_MAOTAWADM02,MAOTAWADM02,Awali OT Management Server,OT Management Server,VM,,,,Z_MA_AWA_SCADA,Windows Server 2016 STD,MA_AWA_MAOTAWAPHY01,,,
Site,AWA,MA_AWA_MPROSCDHIS001,MPROSCDHIS001,Awali Old Historian,Historian,HP,HPE DL380 Gen9,,,Z_MA_AWA_SCADA,Windows Server 2012 R2,,,,
Site,AWA,MA_AWA_MTPROSCDINT01,MTPROSCDINT01,Awali Old GR,GR,VM,,,,Z_MA_AWA_SCADA,Windows Server 2012 R2,MPROSCDHIS001,,,
Site,AWA,MA_AWA_MTPROSCDINT03,MTPROSCDINT03,Awali Backup Old GR,Backup GR,VM,,,,Z_MA_AWA_SCADA,Windows Server 2012 R2,MPROSCDHIS001,,,
Site,AWA,MA_AWA_MPROSCDPHYAWA01,MPROSCDPHYAWA01,Awali Scada Physical Server 1,VM Host,HP,HPE DL380 Gen10,,,Z_MA_AWA_SCADA,Windows Server 2016 DC,,,,
Site,AWA,MA_AWA_MPROSCDGRPAWA01,MPROSCDGRPAWA01,Awali New GR,GR,VM,,,,Z_MA_AWA_SCADA,Windows Server 2016 Std,MPROSCDPHYAWA01,,,
Site,AWA,MA_AWA_MPROSCDDASAWAP1,MPROSCDDASAWAP1,Awali New AOS/DAS,AOS/DAS,VM,,,,Z_MA_AWA_SCADA,Windows Server 2016 Std,MPROSCDPHYAWA01,,,
Site,AWA,MA_AWA_MPROSCDPHYAWA02,MPROSCDPHYAWA02,Awali Scada Physical Server 2,VM Host,HP,HPE DL380 Gen10,,,Z_MA_AWA_SCADA,Windows Server 2016 DC,,,,
Site,AWA,MA_AWA_MPROSCDHISTAWA1,MPROSCDHISTAWA1,Awali New Historian,Historian,VM,,,,Z_MA_AWA_SCADA,Windows Server 2016 Std,MPROSCDPHYAWA02,,,
Site,AWA,MA_AWA_MPROSCDPHYPS901,MPROSCDPHYPS901,PS9 Scada Physical Server,VM Host,HP,HPE DL380 Gen10,,,Z_MA_AWA_SCADA,Windows Server 2016 DC,,,,
Site,AWA,MA_AWA_MPROSCDHISTPS91,MPROSCDHISTPS91,PS9 New Historian,Historian,VM,,,,Z_MA_AWA_SCADA,Windows Server 2016 Std,MPROSCDPHYPS901,,,
Site,AWA,MA_AWA_MTPROHYVHVS011,MTPROHYVHVS011,Awali Scada Physical Server 3,VM Host,HP,HPE DL380 Gen9,,,Z_MA_AWA_SCADA,Windows Server 2012 R2,,,,
Site,MIN,MA_MIN_MS_AOS_DAS_01,MS_AOS_DAS_01,Mina Old AOS/DAS,AOS/DAS,Dell,320,,,Z_MA_MIN_SCADA,Windows Server 2012 R2,,,,
Site,MIN,MA_MIN_?Powered_off_1,?Powered_off_1,?Mina Not Connected,Not Connected,Dell,320,,,Z_MA_MIN_SCADA,Not Connected,,,,
Site,MIN,MA_MIN_?Powered_off_2,?Powered_off_2,?Mina Not Connected,Not Connected,Dell,320,,,Z_MA_MIN_SCADA,Not Connected,,,,
Site,MIN,MA_MIN_?Powered_off_3,?Powered_off_3,?Mina Not Connected,Not Connected,Dell,320,,,Z_MA_MIN_SCADA,Not Connected,,,,
Site,MIN,MA_MIN_MS_AOS_DAS_02,MS_AOS_DAS_02,Mina Old AOS/DAS,AOS/DAS,Dell,220,,,Z_MA_MIN_SCADA,Windows Server 2012 R2,MPROPHYVHVS001,,,
Site,MIN,MA_MIN_MS_INSQL_01,MS_INSQL_01,Mina Old Historian Server,Historian,VM,,,,Z_MA_MIN_SCADA,Windows Server 2012 R2,MPROPHYVHVS001,,,
Site,MIN,MA_MIN_MPROSCDHIST01,MPROSCDHIST01,Mina New Historian,Historian,VM,,,,Z_MA_MIN_SCADA,Windows Server 2016 Std,MPROSCDSRV001,,,
Site,MIN,MA_MIN_MPROSCDDASP01,MPROSCDDASP01,Mina New AOS/DAS 1,AOS/DAS,VM,,,,Z_MA_MIN_SCADA,Windows Server 2016 Std,MPROSCDSRV001,,,
Site,MIN,MA_MIN_MPROSCDDASP02,MPROSCDDASP02,Mina New AOS/DAS 2,AOS/DAS,VM,,,,Z_MA_MIN_SCADA,Windows Server 2016 Std,MPROPHYVHVS001,,,
Site,MIN,MA_MIN_MPROSCDGRP01,MPROSCDGRP01,Mina GR,GR,VM,,,,Z_MA_MIN_SCADA,Windows Server 2016 Std,MPROSCDSRV001,,,
Site,MIN,MA_MIN_MPROHYVHVS001,MPROHYVHVS001,Mina Scada Physical Server 1,VM Host,HP,HPE DL380 Gen10,,,Z_MA_MIN_SCADA,Windows Server 2016 DC,,,,
Site,MIN,MA_MIN_MPROSCDSRV001,MPROSCDSRV001,Mina Scada Physical Server 2,VM Host,HP,HPE DL380 Gen10,,,Z_MA_MIN_SCADA,Windows Server 2016 DC,,,,
Site,MIN,MA_MIN_MS_WS_01,MS_WS_01,Mina Scada OWS,Scada OWS,Dell,,,,Z_MA_MIN_SCADA,Windows 7,,,,
Site,MIN,MA_MIN_MS_WS_02,MS_WS_02,Mina Scada OWS,Scada OWS,Dell,,,,Z_MA_MIN_SCADA,Windows 7,,,,
Site,MIN,MA_MIN_MCPSCADA-MN02,MCPSCADA-MN02,Mina Scada EWS,Scada EWS,Dell,,,,Z_MA_MIN_SCADA,Windows 10,,,,
Site,MIN,MA_MIN_MCPSCADA-MN01,MCPSCADA-MN01,Mina Scada EWS,Scada EWS,Dell,,,,Z_MA_MIN_SCADA,Windows 10,,,,
Site,MOA,MA_MOA_MPROSCDPHYMOA01,MPROSCDPHYMOA01,Mapa New Server Physical,VM Host,HP,HPE DL380 Gen10,,,Z_MA_MOA_SCADA,Windows Server 2016 DC,,,,
Site,MOA,MA_MOA_MCPPS5C5919-1,MCPPS5C5919-1,Mapa Scada OWS,Scada OWS,HP,Proliant DL120 Gen9,,,Z_MA_MOA_SCADA,Windows 8,,,,
Site,MOA,MA_MOA_MCPPS5C5919-2,MCPPS5C5919-2,Mapa Old AOS/DAS/Historian,AOS/DAS/Historian,HP,Proliant DL120 Gen9,,,Z_MA_MOA_SCADA,Windows Server 2012 R2,,,,
Site,MOA,MA_MOA_MPROSCDDASMOA01,MPROSCDDASMOA01,Mapa AOS/DAS 1,AOS/DAS,VM,,,,Z_MA_MOA_SCADA,Windows Server 2016 Std,MPROSCDPHYMOA01,,,
Site,MOA,MA_MOA_MPROSCDHISTMOA1,MPROSCDHISTMOA1,Mapa Historian,Historian,VM,,,,Z_MA_MOA_SCADA,Windows Server 2016 Std,MPROSCDPHYMOA01,,,
Site,PS5,MA_PS5_MTCBU_HMI_001,MTCBU_HMI_001,PS5 Scada OWS 1,Scada OWS,Dell,,,,Z_MA_PS5_SCADA,Windows 7,,,,
Site,PS5,MA_PS5_MTCBU_HMI_002,MTCBU_HMI_002,PS5 Scada OWS 2,Scada OWS,Dell,,,,Z_MA_PS5_SCADA,Windows 7,,,,
Site,PS5,MA_PS5_MTCBU_HMI_003,MTCBU_HMI_003,PS5 Scada OWS 3,Scada OWS,Dell,,,,Z_MA_PS5_SCADA,Windows 7,,,,
Site,PS5,MA_PS5_MTCBU_ENG1,MTCBU_ENG1,PS5 Scada EWS,Scada EWS,Dell,,,,Z_MA_PS5_SCADA,Windows 7,,,,
Site,PS5,MA_PS5_MCBU_AOS_DAS1,MCBU_AOS_DAS1,PS5 Old AOS/DAS Server,AOS/DAS,Dell,220,,,Z_MA_PS5_SCADA,Windows Server 2008,,,,
Site,PS5,MA_PS5_MCBU_INSQL_1,MCBU_INSQL_1,PS5 Old Server Historian,Historian,Dell,320,,,Z_MA_PS5_SCADA,Windows Server 2008,,,,
Site,PS5,MA_PS5_MTCBU_AOS_DAS_02,MTCBU_AOS_DAS_02,PS5 Old AOS/DAS Server,AOS/DAS,HP,Proliant DL120 Gen9,,,Z_MA_PS5_SCADA,Windows Server 2008,,,,
Site,PS5,MA_PS5_MPROSCDDASPS501,MPROSCDDASPS501,PS5 New AOS/DAS 1,AOS/DAS,VM,,,,Z_MA_PS5_SCADA,Windows Server 2016 Std,MPROSCDPHYPS501,,,
Site,PS5,MA_PS5_MPROSCDHISTPS51,MPROSCDHISTPS51,PS5 Historian,Historian,VM,,,,Z_MA_PS5_SCADA,Windows Server 2016 Std,MPROSCDPHYPS501,,,
Site,PS5,MA_PS5_MPROSCDDASPS502,MPROSCDDASPS502,PS5 New AOS/DAS 2,AOS/DAS,VM,,,,Z_MA_PS5_SCADA,Windows Server 2016 Std,MPROSCDPHYPS502,,,
Site,PS5,MA_PS5_MPROSCDDASPS503,MPROSCDDASPS503,PS5 New AOS/DAS 3,AOS/DAS,VM,,,,Z_MA_PS5_SCADA,Windows Server 2016 Std,MPROSCDPHYPS502,,,
Site,PS5,MA_PS5_MCPSCADA-PS501,MCPSCADA-PS501,PS5 New Scada OWS,Scada OWS,Dell,,,,Z_MA_PS5_SCADA,Windows 10,,,,
Site,PS5,MA_PS5_MPROSCDPHYPS501,MPROSCDPHYPS501,PS5 Scada Physical Server 1,VM Host,HP,HPE DL380 Gen10,,,Z_MA_PS5_SCADA,Windows Server 2016 DC,,,,
Site,PS5,MA_PS5_MPROSCDPHYPS502,MPROSCDPHYPS502,PS5 Scada Physical Server 2,VM Host,HP,HPE DL380 Gen10,,,Z_MA_PS5_SCADA,Windows Server 2016 DC,,,,
Site,PS5,MA_PS5_Barco_Server1,Barco_Server1,Nwc Wall Screens 1,,,,,,Z_MA_PS5_SCADA,Windows XP,,,,
Site,PS5,MA_PS5_Barco_Server2,Barco_Server2,Nwc Wall Screens 2,,,,,,Z_MA_PS5_SCADA,Windows XP,,,,
Site,PS5,MA_PS5_Barco_Server3,Barco_Server3,Nwc Wall Screens 3,,,,,,Z_MA_PS5_SCADA,Windows XP,,,,
Site,PS5,MA_PS5_MAPS5HMI002,MAPS5HMI002,PS5 Scada OWS 4,Scada OWS,HP,,,,Z_MA_PS5_SCADA,Windows 10,,,,
Site,PS9,MA_PS9_CBU_AOS_DAS_W,CBU_AOS_DAS_W,Faulty,,,,,,,Power_off_1,,,,
Site,PS9,MA_PS9_TCBU_AOS_DAS,TCBU_AOS_DAS,Historian/AOS/DAS,Historian/AOS/DAS,Dell,OptiPlex 9010,,,,Windows 7,,,,
